TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
17.293811823,5753.245110333333,0.03407381,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,999,1624.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
18.278907647,6086.732821,0.01870779,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1000,1363.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
18.512751124,6154.372240666667,0.04963257,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1000,727.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
18.561146798,6181.877514999999,0.015513025,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,999,1317.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
18.66135617,16.610997666666666,0.065805073,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,987,827.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,18.762476774,10.87406,0.117090825,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,994,5359.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,19.116875481,89.73836200000001,0.169653192,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,972,94988.0,0.0,0.0,0.0,0.0
19.198817925,162.3310086666667,0.520811478,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,937,816.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,19.864504894,171.6476726666667,0.699502502,3,0,1,2,4,998,1.9413668055E10,2000,0.0,977,1.9413669057E10,994,1.9246220132E10,970,92858.0,3.02235242E8,1.94467368E10,4.03392794E8,0.0
20.714313027,300.853828,1.034368962,4,3,5,2,1,924,1227.0,959,315.0,979,238.0,967,173.0,871,1155.0,9.02558853E8,2.064797322E10,2.0698379363E10,2080.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,21.497611033,283.122002,0.915105323,0,3,4,2,1,2000,1.9413668055E10,971,7.65640698E8,980,6.49527214E8,960,4.16232441E8,930,2.6689224E8,9.01237509E8,2.016505715E9,-8.2870812E7,0.0
22.266794733,216.44012833333332,0.834924001,4,3,5,2,1,927,1700.0,978,322.0,985,231.0,986,2418.0,866,1939.0,6.49316698E8,1.666449974E9,1.600974227E9,-1.8371984E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,22.933374179,234.32065466666666,0.852180886,4,5,3,2,1,994,5.01510837E8,990,4.15613306E8,961,4.16818024E8,982,4.67757922E8,922,2.66328319E8,5.66205439E8,1.431301387E9,1.314742667E9,3.2709939E7
23.566142749,227.45961433333332,0.781989578,5,3,4,2,1,980,1891.0,908,270.0,981,184.0,930,272.0,887,1950.0,7.30413611E8,1.468972433E9,-5.3125336E7,1.201117313E9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,23.667705809,227.45961433333332,0.201172688,0,0,0,0,1,2000,5.01510837E8,2000,4.15613306E8,2000,4.16818024E8,2000,4.67757922E8,919,5.52755916E8,5.66205439E8,1.431301387E9,1.314742667E9,3.2709939E7
,,,,,,,,,,,,,,,,,,,,,,,24.19826328,144.103452,0.498101975,5,3,4,1,2,973,5.83101753E8,992,3.64308405E8,968,5.3613599E8,968,3.02911508E8,965,6.84786858E8,3.0833619E7,1.352057861E9,1.83385763E8,1.366540225E9
24.949094492,228.36834333333334,0.816624517,4,3,5,2,1,932,1310.0,917,673.0,950,184.0,967,514.0,885,1508.0,7.4843141E8,1.385347821E9,1.231897355E9,3451.0,,,,,,,,,,,,,,,,,,,,,,,
25.431730907,193.41418700000003,0.033913827,0,0,0,0,1,2000,1310.0,2000,673.0,2000,184.0,2000,514.0,999,1640.0,7.4843141E8,1.385347821E9,1.231897355E9,3451.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25.516265133,210.499755,0.698689527,5,4,3,2,1,997,6.16394947E8,979,4.16821402E8,953,5.83286004E8,963,2.49566168E8,926,4.81452598E8,5.47771979E8,1.768797048E9,1.466362177E9,1.248940751E9
,,,,,,,,,,,,,,,,,,,,,,,26.217311245,217.06611666666666,0.117038622,0,0,0,0,1,2000,6.16394947E8,2000,4.16821402E8,2000,5.83286004E8,2000,2.49566168E8,934,3.47935907E8,5.47771979E8,1.768797048E9,1.466362177E9,1.248940751E9
26.232322927,217.06611666666666,0.783248515,3,4,5,2,1,908,1328.0,944,414.0,964,211.0,975,214.0,873,1587.0,6.83345403E8,1.268195395E9,6.7313439E7,-8.3990946E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26.96696352,232.661928,0.734614198,5,4,3,2,1,1000,7.9820307E8,971,5.16075478E8,956,6.83581886E8,964,2.9943895E8,953,3.82262057E8,4.35128762E8,1.581953909E9,1.40061554E9,1.481482883E9
27.647512782,217.655165,0.717179175,3,4,5,2,1,892,1777.0,965,535.0,1000,220.0,973,321.0,868,1798.0,6.87323511E8,1.500589623E9,-1.5351934E7,-6.7253276E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,28.61681009,272.384844,1.03350952,4,5,3,2,1,963,8.32903974E8,950,6.9599466E8,960,7.6324907E8,976,3.49088294E8,929,2.02431374E8,7.3035373E8,1.816417241E9,1.56721757E9,-9.8469592E7
29.415982677,288.797074,1.015527751,4,3,0,2,1,958,2029.0,971,310.0,2000,220.0,969,344.0,873,2080.0,8.33301186E8,1.599459314E9,1.766526569E9,-6.7253276E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,29.583944541,288.797074,0.317098524,0,0,0,0,1,2000,8.32903974E8,2000,6.9599466E8,2000,7.6324907E8,2000,3.49088294E8,923,1.17160746E8,7.3035373E8,1.816417241E9,1.56721757E9,-9.8469592E7
30.167292501,166.49142766666665,0.049999335,0,0,0,0,1,2000,2029.0,2000,310.0,2000,220.0,2000,344.0,943,1447.0,8.33301186E8,1.599459314E9,1.766526569E9,-6.7253276E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,30.26728975,188.020375,0.649469567,4,3,2,1,0,989,6.98601996E8,988,7.15454257E8,968,2.31669606E9,982,6.15635345E8,2000,1.17160746E8,6.3183289E8,1.817897804E9,1.714646998E9,-9.8469592E7
