time1,inByte1_0,inByte1_1,inByte1_2,inByte1_3,inByte1_4,time2,inByte2_0,inByte2_1,inByte2_2,inByte2_3,inByte2_4
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1010,830,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,974,1012,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1022,973,1011,831,702
0,1019,1023,1022,1010,989,0,1021,973,1012,831,702
0,1019,1023,1022,1010,989,0,1021,973,1012,831,702
