StrideLeft,ContactTimeLeft,LeftOrder1,LeftOrder2,LeftOrder3,LeftOrder4,LeftOrder5,LPeak1,LPeak2,LPeak3,LPeak4,LPeak5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,StrideRight,ContactTimeRight,RightOrder1,RightOrder2,RightOrder3,RightOrder4,RightOrder5,RPeak1,RPeak2,RPeak3,RPeak4,RPeak5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,2,0,3,1,2,4,0,994,896,994,792,2000,0,5,0,0
,,,,,,,,,,,,,,,,,3,0,0,3,0,2,1,2000,848,2000,568,567,0,1,0,0
,,,,,,,,,,,,,,,,,5,0,0,3,0,1,2,2000,928,2000,642,582,0,2,0,0
,,,,,,,,,,,,,,,,,6,0,0,3,4,2,1,2000,874,992,637,577,0,2,0,0
,,,,,,,,,,,,,,,,,7,0,5,3,4,2,1,992,929,981,631,570,0,2,0,2
,,,,,,,,,,,,,,,,,8,0,5,3,4,2,1,992,893,976,617,562,0,2,0,2
,,,,,,,,,,,,,,,,,9,0,5,3,4,2,1,989,839,972,623,557,0,1,0,1
,,,,,,,,,,,,,,,,,10,0,5,3,4,2,1,987,834,965,619,574,0,1,0,1
,,,,,,,,,,,,,,,,,10,0,5,3,4,2,1,992,837,968,614,550,0,1,0,1
,,,,,,,,,,,,,,,,,11,0,5,3,4,1,2,985,820,965,618,588,0,1,0,1
,,,,,,,,,,,,,,,,,11,0,5,3,4,2,1,991,806,975,582,570,0,1,0,1
,,,,,,,,,,,,,,,,,12,0,5,2,4,3,1,991,822,968,616,553,0,0,1,1
,,,,,,,,,,,,,,,,,13,0,5,2,4,3,1,986,827,967,622,563,0,0,1,1
,,,,,,,,,,,,,,,,,13,0,5,3,4,2,1,990,814,968,616,560,0,1,0,1
,,,,,,,,,,,,,,,,,14,0,5,3,4,2,1,990,821,968,620,561,0,1,0,1
,,,,,,,,,,,,,,,,,15,0,5,3,4,2,1,987,870,993,601,552,0,1,0,1
,,,,,,,,,,,,,,,,,16,0,0,3,4,1,2,2000,902,989,607,555,0,1,0,1
,,,,,,,,,,,,,,,,,16,0,0,0,0,1,0,2000,2000,2000,890,2000,0,1,0,1
,,,,,,,,,,,,,,,,,16,0,0,0,0,1,0,2000,2000,2000,897,2000,0,1,0,1
,,,,,,,,,,,,,,,,,16,0,0,0,0,1,0,2000,2000,2000,900,2000,0,1,0,1
,,,,,,,,,,,,,,,,,16,0,0,0,0,1,0,2000,2000,2000,898,2000,0,1,0,1
