TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,,,,,,,10.009041407,113.31941824999998,0.726506811,0,1,2,3,4,2000,0.0,775,9.669074236,985,9.669074711,627,9.520321321,842,9.297712118,0.621577231,0.066305588,-0.466401057,0.0
11.073685569,229.60885849999997,1.337873424,4,0,2,3,1,1014,8.62E-7,2000,0.0,917,1.018E-6,963,2.09E-7,978,2.27E-7,1.320975649,-0.153741099,10.88784854,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,12.22245958,329.71040000000005,1.568212718,0,3,4,1,2,2000,0.0,779,11.920640448,996,0.796016817,599,0.936695795,601,0.753326269,1.165390475,2.302791886,-0.200529616,0.0
13.312075217,228.872943,1.338987002,4,0,3,2,1,1014,1.214E-6,2000,0.0,898,1.12E-6,987,3.53E-7,964,2.55E-7,1.085538794,2.233306415,2.204665378,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,14.445234737,329.33795425,1.556653111,0,3,4,1,2,2000,0.0,776,14.191365455,988,0.735361152,613,0.94930904,647,0.591556874,1.102307112,2.588842277,-0.118781124,0.0
15.600840854,238.02273250000002,1.394908542,4,0,1,3,2,1013,1.699E-6,2000,0.0,905,8.93E-7,977,8.35E-7,976,2.65E-7,0.720090626,2.315394179,2.21985879,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,16.752254525,323.1623535,1.594231485,0,3,4,1,2,2000,0.0,792,16.383290408,985,0.73156624,627,0.873190901,608,0.721086197,1.14031076,2.74175766,-0.118222209,0.0
17.786471684,233.248006,1.335799383,4,0,2,3,1,1013,5.452E-6,2000,0.0,896,1.2404E-5,989,2.71E-7,978,1.68E-7,1.314958444,-0.218981127,2.340578497,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,18.868575384,312.5369667499999,1.484906776,5,3,4,1,2,995,0.298745088,772,18.564555444,976,0.317497763,607,0.850317299,584,0.834150648,0.999257453,2.548761785,-0.049015739,1.519263844
,,,,,,,,,,,,,,,,,,,,,,,18.916518964,66.729297,0.015787176,0,0,0,0,1,2000,0.298745088,2000,18.564555444,2000,0.317497763,2000,0.850317299,998,4.335E-6,0.999257453,2.548761785,-0.049015739,1.519263844
,,,,,,,,,,,,,,,,,,,,,,,19.052346384,95.71037950000002,0.035692674,0,0,0,0,1,2000,0.298745088,2000,18.564555444,2000,0.317497763,2000,0.850317299,1009,2.745E-6,0.999257453,2.548761785,-0.049015739,1.519263844
,,,,,,,,,,,,,,,,,,,,,,,19.135495964,112.41884699999999,0.052008086,0,0,0,0,1,2000,0.298745088,2000,18.564555444,2000,0.317497763,2000,0.850317299,1010,4.263E-6,0.999257453,2.548761785,-0.049015739,1.519263844
,,,,,,,,,,,,,,,,,,,,,,,19.350064971,174.64072650000003,0.017687151,0,0,0,0,1,2000,0.298745088,2000,18.564555444,2000,0.317497763,2000,0.850317299,1010,0.015174906,0.999257453,2.548761785,-0.049015739,1.519263844
19.836649736,195.88690824999998,1.202838428,0,0,2,0,1,2000,5.452E-6,2000,0.0,923,1.7E-6,2000,2.71E-7,956,7.79E-7,1.183332145,-0.218981127,2.340578497,0.0,,,,,,,,,,,,,,,,,,,,,,,
