time1,Left0,Left1,Left2,Left3,Left4,time2,Right0,Right1,Right2,Right3,Right4
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1011
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1023,1017,1012
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1022,1017,1013
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1022,1017,1013
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1022,1017,1013
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1022,1017,1013
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1022,1017,1013
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1022,1017,1013
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1022,1017,1013
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1022,1017,1013
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1022,1017,1013
188.0,1023,1018,1012,1018,1023,188.0,1023,1023,1022,1017,1013
