StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
2003.9321220000004,0.307035192,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,993,8.43E-6,0.0,0.0,0.0,0.0
2369.6444062500004,0.404826846,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,991,8.21E-6,0.0,0.0,0.0,0.0
2509.1984012499993,0.093999767,0,0,0,1,0,2000,0.0,2000,0.0,2000,0.0,1010,40251.666559419,2000,8.21E-6,0.0,0.0,0.0,0.0
2544.664148,0.019472706,0,0,0,1,0,2000,0.0,2000,0.0,2000,0.0,1010,40251.666558562,2000,8.21E-6,0.0,0.0,0.0,0.0
3161.4044714999995,0.139311641,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,40251.666558562,997,9.27E-6,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,113.38817974999998,0.102320816,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1007,0.381241607,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,258.39890125,0.020438618,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1010,0.931431287,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,275.39264775,0.037033732,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1008,1.016175423,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,287.77672749999994,0.202027962,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1008,1.148416562,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,413.20084275000005,0.017376858,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1010,1.55063889,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,424.96101925,0.039218585,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1010,1.597679761,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,458.57330175,0.054109927,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1009,1.747838947,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,487.54483999999997,0.019398447,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1009,1.848014947,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,496.1199465000001,0.119046486,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1009,1.951144327,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,558.6687117499999,0.017673655,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1010,2.132510544,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,571.18423025,0.186894647,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1008,2.334376713,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,650.0741340000002,0.0360179,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1010,2.515566109,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,679.2380937500001,0.055629224,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1009,2.648022784,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,709.0703767499999,0.018716621,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1010,2.734117191,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,58.253981249999995,0.018842215,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1009,3.032979208,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,66.12905575,0.089081028,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1010,3.1335456,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,158.09463050000002,0.018884575,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1010,3.432342139,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,166.531497,0.067644393,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1009,3.481145286,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,187.33825624999997,0.120084884,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1009,3.634166635,0.0,0.0,0.0,0.0
233.56986300000003,0.951574387,0,0,0,1,0,2000,0.0,2000,0.0,2000,0.0,1004,40251.666559129,2000,9.27E-6,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,233.56986300000003,0.03369983,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.0,2000,0.0,1008,3.751693811,0.0,0.0,0.0,0.0
4.27401975,0.034801781,0,0,0,1,0,2000,0.0,2000,0.0,2000,0.0,1009,40251.666558456,2000,9.27E-6,0.0,0.0,0.0,0.0
