StrideLeft,ContactTimeLeft,LeftOrder1,LeftOrder2,LeftOrder3,LeftOrder4,LeftOrder5,StrideRight,ContactTimeRight,RightOrder1,RightOrder2,RightOrder3,RightOrder4,RightOrder5
,,,,,,,0,0,1,3,2,4,0
,,,,,,,,,967,963,953,843,2000
0,665,0,2,0,1,0
,,,2000,979,2000,964,2000
,,,,,,,0,17,3,2,1,4,0
,,,,,,,,,993,955,940,900,2000
0,18,0,2,0,1,0
,,,2000,992,2000,957,2000
,,,,,,,0,6,2,3,1,4,0
,,,,,,,,,992,945,937,839,2000
0,19,0,0,0,1,0
,,,2000,2000,2000,971,2000
,,,,,,,0,662,0,2,1,3,0
,,,,,,,,,2000,960,936,762,2000
0,19,0,0,0,1,0
,,,2000,2000,2000,960,2000
,,,,,,,0,6,4,2,1,3,0
,,,,,,,,,990,952,939,781,2000
0,23,0,2,0,1,0
,,,2000,1000,2000,960,2000
,,,,,,,0,723,4,2,1,3,0
,,,,,,,,,989,954,944,720,2000
0,19,0,2,0,1,0
,,,2000,999,2000,964,2000
