TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
12.982731325,1071.229513,0.127976413,1,0,2,3,0,943,0.027244264,2000,0.0,1007,5.31592E-4,1004,1.78215E-4,2000,0.0,0.014473945,6.46757E-4,-12.869874858,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,13.676675062,12.89842225,0.040061102,1,2,3,4,5,0,0.022365481,0,0.007331135,0,0.007050583,0,0.006794502,0,0.006534739,0.015300235,4.26884E-4,3.95876E-4,3.83927E-4
14.330541269,12.89842225,0.848708978,5,3,4,2,1,963,0.119286242,947,0.187056362,997,0.121901255,971,0.270677808,879,0.261167586,0.444800749,0.115801516,0.032806137,0.051176503,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,15.229487555,25.409902916666663,0.499336033,1,2,3,4,5,906,0.32112666,987,0.332222692,997,0.307343031,926,0.307137978,997,0.306918829,0.013532019,4.78974E-4,3.14747E-4,3.46238E-4
15.830385929,25.409902916666663,0.795313697,4,5,3,2,1,926,0.215197134,961,0.149894423,992,0.167219612,986,0.285355891,882,0.193756053,0.242651699,0.167984127,0.016872956,3.23046E-4,,,,,,,,,,,,,,,,,,,,,,,,
17.035221419,1352.4672976666666,0.805613235,5,3,4,2,1,915,0.318409791,960,0.314982494,994,0.232408231,984,0.16672629,880,0.138812522,0.221372193,0.034211823,0.033327697,0.015003702,,,,,,,,,,,,,,,,,,,,,,,,
17.557418494,1448.7307171666669,0.172649398,0,0,0,0,1,2000,0.318409791,2000,0.314982494,2000,0.232408231,2000,0.16672629,886,0.154850643,-0.933788841,0.034211823,0.033327697,0.015003702,,,,,,,,,,,,,,,,,,,,,,,,
18.181579097,39.29081425,0.593364244,4,5,2,1,3,917,0.299359735,957,0.18210847,993,0.249909164,974,0.272357624,969,0.016200893,0.10335924,4.38694E-4,0.049229579,0.034714511,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,18.722479387,47.75565325,0.662772473,0,0,0,0,1,2000,0.32112666,2000,0.332222692,2000,0.307343031,2000,0.307137978,912,0.643994151,-3.316021632,4.78974E-4,3.14747E-4,3.46238E-4
,,,,,,,,,,,,,,,,,,,,,,,18.767904984,8.771213916666666,0.029875386,0,0,1,0,0,2000,0.32112666,2000,0.332222692,1012,0.021165999,2000,0.307137978,2000,0.643994151,-3.994344038,4.78974E-4,3.14747E-4,3.46238E-4
19.482601103,8.771213916666666,0.849828469,5,3,4,2,1,940,0.1660815,960,0.098180596,986,0.16507655,975,0.283172521,878,0.184097749,0.317022199,0.184693295,1.98275E-4,0.064839624,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,20.162221123,32.58057491666667,0.578489331,3,4,5,1,2,991,2.66274E-4,979,1.06642E-4,1021,1.86518E-4,999,0.023639267,899,0.007538037,0.016246559,0.493955173,3.37761E-4,0.016985651
20.932845969,76.73253708333336,0.958146353,5,4,3,2,1,930,0.166603773,945,0.099569079,975,0.415629434,965,0.564381846,891,0.202540168,0.170305183,0.148608936,0.283211711,0.066992331,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,21.469649865,34.890398250000004,0.574160894,3,5,4,1,2,982,0.418496895,960,0.014324679,959,0.450445688,963,0.472544184,921,0.026446748,0.013518942,0.040328988,8.34988E-4,0.436024226
22.10190476,34.890398250000004,0.787732002,5,4,3,2,1,926,0.318039285,955,0.034396168,991,0.383690965,962,0.181403826,881,0.11966939,0.187963529,0.031290181,0.099651917,0.016743058,,,,,,,,,,,,,,,,,,,,,,,,
22.68133283,7.600962166666666,0.130206108,0,0,0,0,1,2000,0.318039285,2000,0.034396168,2000,0.383690965,2000,0.181403826,917,0.112388683,-1.048990653,0.031290181,0.099651917,0.016743058,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,22.749330882,7.462883833333333,0.106990886,0,1,2,3,0,2000,0.418496895,962,0.015215169,988,1.39232E-4,953,9.7452E-5,2000,0.026446748,0.01536681,2.07497E-4,-1.707741896,0.436024226
23.361585347,50.68139616666667,0.629692001,3,4,1,2,0,930,0.366302219,970,0.03350787,965,0.374877243,989,0.15775656,2000,0.112388683,0.016567421,0.090560805,0.098692494,-1.287892369,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,23.930502852,40.63730658333333,0.590431002,0,0,0,1,2,2000,0.418496895,2000,0.015215169,2000,1.39232E-4,987,0.574995493,893,0.007416506,0.014416064,-0.696573117,-1.707741896,0.436024226
24.032909779,40.63730658333333,0.205192042,0,0,0,0,1,2000,0.366302219,2000,0.03350787,2000,0.374877243,2000,0.15775656,878,0.171839483,-1.079257012,0.090560805,0.098692494,-1.287892369,,,,,,,,,,,,,,,,,,,,,,,,
24.610775339,42.326757083333334,0.530766734,3,4,2,1,0,939,0.282194345,996,1.8702E-4,969,0.214580086,975,0.189923583,2000,0.171839483,0.058384378,0.098915396,0.299626141,-2.887112675,,,,,,,,,,,,,,,,,,,,,,,,
25.266033982,45.03620433333333,0.13766767,0,0,0,0,1,2000,0.282194345,2000,1.8702E-4,2000,0.214580086,2000,0.189923583,885,0.071812675,-0.989971159,0.098915396,0.299626141,-2.887112675,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25.26693681,45.03620433333333,0.678998733,4,1,5,2,3,1007,3.35652E-4,976,0.612771454,984,1.4774E-4,965,0.59832167,899,0.58008098,0.01482533,4.00644E-4,0.597134828,5.65117E-4
25.966152756,54.90073816666666,0.682450855,3,4,2,1,0,971,0.248040782,952,0.014605306,990,0.266887687,961,0.39242467,2000,0.071812675,0.092702001,0.233691422,3.7552E-4,-3.960644868,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26.605089129,40.95332916666667,0.662581969,3,4,5,1,2,993,0.017438629,983,0.016944321,973,0.016757108,977,0.578602501,901,0.056571602,0.016874331,0.57646597,5.84512E-4,2.61005E-4
26.687820329,40.95332916666667,0.25387436,0,0,0,0,1,2000,0.248040782,2000,0.014605306,2000,0.266887687,2000,0.39242467,877,0.201759344,-1.057546807,0.233691422,3.7552E-4,-3.960644868,,,,,,,,,,,,,,,,,,,,,,,,
27.308956611,2229.4552353333333,0.555493111,3,4,2,1,0,930,0.285395741,955,2.19602E-4,973,0.283643761,982,0.3036971,2000,0.201759344,0.05517543,0.131191802,0.252458916,-5.542468323,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,27.988345611,8.655722999999998,0.044430144,1,2,3,4,0,1007,0.026227142,984,0.008025148,993,0.007829075,991,0.007696271,2000,0.056571602,0.018545992,3.45867E-4,2.71374E-4,-1.426384442
28.155534003,8.655722999999998,0.315489496,0,0,0,0,1,2000,0.285395741,2000,2.19602E-4,2000,0.283643761,2000,0.3036971,877,0.230317015,-1.031405529,0.131191802,0.252458916,-5.542468323,,,,,,,,,,,,,,,,,,,,,,,,
28.750732131,42.36643208333333,0.561563077,3,4,2,1,0,952,0.149243532,998,0.015321548,970,0.283720742,985,0.273414407,2000,0.230317015,0.057166871,0.199775098,0.182485572,-6.978775201,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,29.253476447,40.456832000000006,0.555909829,0,0,0,2,1,2000,0.026227142,2000,0.008025148,2000,0.007829075,998,0.48647513,771,0.019402346,0.053458845,-0.788220021,2.71374E-4,-1.426384442
29.341562742,8.751777333333333,0.158513731,0,0,0,0,1,2000,0.149243532,2000,0.015321548,2000,0.283720742,2000,0.273414407,896,0.141793402,-0.936712298,0.199775098,0.182485572,-6.978775201,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,29.342069942,8.751777333333333,0.054000093,0,1,2,3,0,2000,0.026227142,1000,0.037001355,1004,0.022451678,1000,0.022358957,2000,0.019402346,0.014652956,1.86745E-4,-1.339832815,-1.426384442
30.022666735,52.08338991666666,0.646859423,3,4,2,1,0,941,0.28289557,920,0.015722993,984,0.281844092,973,0.341205873,2000,0.141793402,0.059124672,0.198317114,0.200374995,-8.183801852,,,,,,,,,,,,,,,,,,,,,,,,
30.479359873,31.157826,0.104658835,1,0,0,0,0,1008,0.08531414,2000,0.015722993,2000,0.281844092,2000,0.341205873,2000,0.141793402,-0.939769919,0.198317114,0.200374995,-8.183801852,,,,,,,,,,,,,,,,,,,,,,,,
30.680710135,44.015703,0.151714157,2,0,0,0,1,1006,0.051718835,2000,0.015722993,2000,0.281844092,2000,0.341205873,904,0.086126707,0.067853927,-0.963601256,0.200374995,-8.183801852,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,30.717171834,44.015703,0.716358979,0,3,4,1,2,2000,0.026227142,1006,0.608181141,1001,0.017722369,968,0.599580335,900,2.97058E-4,0.014809418,0.076367514,0.523546967,-4.078839048
31.369373983,2560.9552950833336,0.637909707,3,4,1,2,0,941,0.300210584,941,0.016085565,963,0.402886596,984,0.373918966,2000,0.086126707,0.013498356,0.224464969,0.232419184,-9.552025401,,,,,,,,,,,,,,,,,,,,,,,,
