time1,inByte1_0,inByte1_1,inByte1_2,inByte1_3,inByte1_4,time2,inByte2_0,inByte2_1,inByte2_2,inByte2_3,inByte2_4
,,,,,,192,,,,664
,,,,,,192,,,,619
,,,,,,192,,,,619
,,,,,,180,,,,602
,,,,,,180,,,,602
,,,,,,188,,,,556
,,,,,,180,,,,543
,,,,,,180,,,,543
,,,,,,188,,,,539
,,,,,,188,,,,539
,,,,,,196,,,,533
,,,,,,188,,,,527
,,,,,,188,,,,527
,,,,,,188,,,,521
,,,,,,188,,,,521
,,,,,,188,,,,520
,,,,,,188,,,,517
,,,,,,192,,,,515
,,,,,,196,,,,509
,,,,,,180,,,,510
,,,,,,180,,,,510
,,,,,,180,,,,510
,,,,,,176,,,,507
,,,,,,188,,,,507
,,,,,,188,,,,507
,,,,,,196,,,,507
,,,,,,188,,,,505
,,,,,,188,,,,505
,,,,,,188,,,,503
,,,,,,188,,,,503
,,,,,,188,,,,505
,,,,,,192,,,,504
,,,,,,180,,,,501
,,,,,,196,,,,502
,,,,,,180,,,,502
,,,,,,188,,,,502
,,,,,,188,,,,502
,,,,,,188,,,,501
,,,,,,188,,,,502
,,,,,,180,,,,501
,,,,,,180,,,,501
,,,,,,188,,,,502
,,,,,,188,,,,502
,,,,,,188,,,,502
,,,,,,188,,,,503
,,,,,,188,,,,503
,,,,,,196,,,,502
,,,,,,180,,,,502
,,,,,,180,,,,501
,,,,,,176,,,,501
,,,,,,176,,,,501
,,,,,,188,,,,503
,,,,,,188,,,,502
,,,,,,188,,,,502
,,,,,,188,,,,501
,,,,,,188,,,,503
,,,,,,188,,,,503
,,,,,,188,,,,504
,,,,,,188,,,,504
,,,,,,188,,,,504
,,,,,,180,,,,507
,,,,,,180,,,,507
,,,,,,184,,,,509
,,,,,,196,,,,511
,,,,,,196,,,,511
,,,,,,196,,,,512
,,,,,,180,,,,512
,,,,,,196,,,,513
,,,,,,196,,,,512
,,,,,,188,,,,514
,,,,,,188,,,,514
,,,,,,188,,,,513
,,,,,,188,,,,510
,,,,,,188,,,,510
,,,,,,184,,,,515
,,,,,,196,,,,514
,,,,,,196,,,,514
,,,,,,180,,,,512
,,,,,,192,,,,513
,,,,,,192,,,,513
,,,,,,188,,,,515
,,,,,,180,,,,514
,,,,,,188,,,,513
,,,,,,188,,,,513
,,,,,,188,,,,513
,,,,,,188,,,,513
,,,,,,188,,,,513
,,,,,,196,,,,516
,,,,,,188,,,,516
,,,,,,188,,,,517
,,,,,,188,,,,517
,,,,,,180,,,,517
,,,,,,188,,,,519
,,,,,,188,,,,520
,,,,,,188,,,,520
,,,,,,196,,,,518
,,,,,,196,,,,518
,,,,,,196,,,,519
,,,,,,196,,,,519
,,,,,,188,,,,521
,,,,,,188,,,,520
,,,,,,196,,,,521
,,,,,,188,,,,525
,,,,,,188,,,,535
,,,,,,188,,,,574
,,,,,,188,,,,664
