TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
27.132079606,172.4901993333333,0.037415819,0,0,0,0,1,2000,0.567319486,2000,0.299369358,2000,0.167498996,2000,0.500034999,1015,0.020373495,-1.30940526,-1.547117105,0.083357601,0.152089369,,,,,,,,,,,,,,,,,,,,,,,,
28.806142664,229.83156091666672,1.023382343,0,0,3,2,1,2000,0.567319486,2000,0.299369358,1009,0.183496191,1002,0.565124176,916,0.558073252,0.124114039,0.065618711,-3.650993853,0.152089369,,,,,,,,,,,,,,,,,,,,,,,,
28.862633357,316.48882291666666,0.039985658,0,0,0,0,1,2000,0.567319486,2000,0.299369358,2000,0.183496191,2000,0.565124176,1015,0.020919948,-0.915773105,0.065618711,-3.650993853,0.152089369,,,,,,,,,,,,,,,,,,,,,,,,
28.934653269,321.15848950000003,0.05597024,0,0,0,0,1,2000,0.567319486,2000,0.299369358,2000,0.183496191,2000,0.565124176,1015,0.037130913,-0.971809104,0.065618711,-3.650993853,0.152089369,,,,,,,,,,,,,,,,,,,,,,,,
28.969992918,327.0673448333334,0.020401952,0,0,0,0,1,2000,0.567319486,2000,0.299369358,2000,0.183496191,2000,0.565124176,1017,0.014022714,-1.042715368,0.065618711,-3.650993853,0.152089369,,,,,,,,,,,,,,,,,,,,,,,,
29.029349978,330.2370535,0.041722595,0,0,0,0,1,2000,0.567319486,2000,0.299369358,2000,0.183496191,2000,0.565124176,1015,0.023412041,-1.080751872,0.065618711,-3.650993853,0.152089369,,,,,,,,,,,,,,,,,,,,,,,,
29.130633701,339.22160633333334,0.035192763,0,0,0,0,1,2000,0.567319486,2000,0.299369358,2000,0.183496191,2000,0.565124176,1015,0.018820268,-1.188566506,0.065618711,-3.650993853,0.152089369,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,29.38798424,350.65177958333334,4.363200124,0,4,3,1,2,2000,0.021668396,928,0.016888846,1009,1.02195037,988,0.015221888,892,4.174042872,0.015302128,0.006646316,1.037729401,-14.685767197
,,,,,,,,,,,,,,,,,,,,,,,30.161973898,18.650775666666668,0.705557463,0,0,0,0,1,2000,0.021668396,2000,0.016888846,2000,1.02195037,2000,0.015221888,1013,0.305693771,-4.416328535,0.006646316,1.037729401,-14.685767197
,,,,,,,,,,,,,,,,,,,,,,,30.748926956,80.19303808333335,0.554006874,0,0,0,0,1,2000,0.021668396,2000,0.016888846,2000,1.02195037,2000,0.015221888,1014,0.53634056,-5.154835684,0.006646316,1.037729401,-14.685767197
