time1,Left0,Left1,Left2,Left3,Left4,time2,Right0,Right1,Right2,Right3,Right4
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1009,957,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1022,1021,1023,1011,958,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1023,1023,1023,1013,959,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1021,1017,1013,988,933
188.0,1021,1020,1023,1010,957,188.0,1022,1017,1014,989,933
188.0,1021,1020,1023,1010,957,188.0,1022,1017,1014,989,933
188.0,1021,1020,1023,1010,957,188.0,1022,1017,1014,989,933
188.0,1021,1020,1023,1010,957,188.0,1022,1017,1014,989,933
188.0,1021,1020,1023,1010,957,188.0,1022,1017,1014,989,933
