StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,,,,,,49.9396475,0.686251548,5,3,4,2,1,962,0.467683225,781,7480.920528,990,7481.070164,636,7480.752505,578,7481.102188,7481.08563,-7479.199945,-0.049591525,1.099451758
41.79515142,0.586503124,0,3,4,2,1,2000,2.01E-06,983,1.88E-06,978,3.20E-07,960,7480.602483,979,2.66E-06,0.567453052,1.050772685,2.18E-06,1.280824241,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,49.87581458,0.635287667,5,3,4,2,1,986,1.601339736,787,7480.920035,992,7481.072753,609,7480.835832,577,7481.035474,7481.218956,-7479.36834,4.35E-07,1.098543557
39.08181917,0.573254005,0,4,3,2,1,2000,2.01E-06,983,1.83E-06,980,3.62E-07,951,7480.602483,972,1.61E-05,0.537184511,1.082576599,1.069783736,1.280824241,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,48.45918333,0.667296089,0,4,3,2,1,2000,1.601339736,749,7481.048655,998,7480.870421,620,7480.866511,548,7480.999741,7481.233461,-7479.785195,1.102028668,1.098543557
43.04946917,0.602619363,5,3,4,2,1,979,1.93E-06,982,1.59E-06,985,4.75E-07,948,7480.602483,979,1.74E-05,0.569272281,1.062452909,0.03439286,1.096846051,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,47.15815767,0.618795845,4,5,3,2,1,963,0.386380798,875,7480.95268,964,7480.902691,774,7480.799744,572,7481.069717,7480.969636,-7479.534583,1.332607438,7.06E-07
41.86524342,0.603345215,5,4,3,2,1,982,1.61E-06,1005,1.80E-06,949,4.13E-07,980,7480.602483,976,1.52E-05,0.550707977,1.097419375,1.035724529,1.066240545,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,52.80197975,0.63733295,5,2,4,3,1,987,0.466640073,809,7481.051858,980,7480.819447,681,7480.753538,576,7481.03624,0.61503151,7480.419833,1.082538741,1.082537718
35.93692317,0.551800505,5,4,3,2,1,978,1.89E-06,996,3.83E-07,971,2.80E-07,968,7480.602483,977,2.32E-05,0.531961372,1.117259365,1.016697892,1.1655866,,,,,,,,,,,,,,,,,,,,,,
