TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4,
,,,,,,,,,,,,,,,,,,,,,,,46.42767545,116.7847283,0.2654877,5,2,4,3,1,967,1.13E-07,908,0.101257625,906,0.06647378,919,0.083003288,907,0.0145851,0.031427813,3.10E-04,0.701393386,0.814941786,
46.54492972,110.950524,0.049890666,0,0,0,0,1,2000,0.049651448,2000,0.098605464,2000,0.031464925,2000,0.067630288,945,0.030699941,0.048778715,0.699250972,0.651765442,5.58E-04,,,,,,,,,,,,,,,,,,,,,,,,
46.74402651,132.927991,0.183055132,3,4,1,2,0,987,0.114979053,933,0.099282217,952,0.084197405,938,0.08282968,2000,0.030699941,0.001368277,0.733490085,4.60E-04,5.58E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,47.10992692,94.26264233,0.266166915,5,2,3,4,1,980,8.80E-08,911,0.10038447,913,0.100081185,921,0.099959802,906,0.049108715,0.066163829,3.04E-04,1.22E-04,0.799338287,
47.46226607,116.9664933,0.267607393,4,2,5,3,1,984,0.098999223,934,0.131973826,957,0.065769158,934,0.082148585,883,0.033900507,0.049314575,3.21E-04,0.682845105,5.33E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,47.77760945,116.1734967,0.234429208,5,2,4,3,1,963,0.015131801,915,0.116820293,915,0.065166823,915,0.09972882,915,0.017473059,0.033735372,2.84E-04,0.718341448,0.800224763,
48.11112633,111.2683397,0.234142054,4,3,5,2,1,978,0.084622827,925,0.102262941,954,0.066920827,933,0.083418076,925,0.032365164,0.050533467,0.698757561,0.716076585,4.60E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,48.47679408,122.4381347,0.232494755,5,3,4,2,1,1009,1.49E-07,915,0.099280393,914,0.098949561,917,0.097836191,918,1.13E-07,0.017969549,0.717200877,3.31E-04,0.681108111,
48.82706024,111.1944403,0.249178292,5,2,4,3,1,1001,0.015233872,921,0.100636367,966,0.082533279,949,0.050177339,874,0.048674978,0.064943326,2.75E-04,0.718198286,0.767856657,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,48.94345569,116.931662,0.014778467,0,0,0,0,1,2000,1.49E-07,2000,0.099280393,2000,0.098949561,2000,0.097836191,967,1.52E-07,0.017969549,0.717200877,3.31E-04,0.681108111,
,,,,,,,,,,,,,,,,,,,,,,,49.16104821,132.904059,0.184453164,4,1,3,2,0,959,1.43E-07,917,0.085348137,917,0.067726327,918,0.084818073,2000,1.52E-07,5.31E-04,0.731948241,0.832514243,0.681108111,
49.52924596,100.5897417,0.250882589,5,3,4,2,1,1003,0.067106803,946,0.101195051,954,0.065449704,938,0.097460219,932,0.01518715,0.033879103,0.701137332,2.90E-04,0.748652317,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,49.84461376,132.6438387,0.168317965,4,1,2,3,0,982,1.22E-07,908,0.102140386,909,0.101639516,916,0.08330935,2000,1.52E-07,5.01E-04,5.74E-04,0.801085039,0.681108111,
50.1776792,101.0757887,0.19815692,4,5,2,3,1,1003,0.033434248,931,1.35E-07,948,0.081351364,935,0.047673094,908,0.031104139,0.048729253,5.69E-04,0.732205228,0.050227008,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,50.54505597,133.1064653,0.166213423,4,1,3,2,0,970,1.15E-07,916,0.065606135,917,0.051611964,913,0.06512033,2000,1.52E-07,4.87E-04,0.716040059,0.799968211,0.681108111,
50.8792556,93.71432533,0.219270999,4,5,2,3,1,996,0.083491218,941,1.69E-07,947,0.068487063,934,0.067958616,900,0.033208637,0.049662608,5.29E-04,0.697977839,0.101783497,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,51.22833552,133.3963757,0.168160897,4,1,2,3,0,974,0.086442348,911,0.100392602,909,0.099524412,915,0.065066901,2000,1.52E-07,8.69E-04,6.22E-04,0.733286471,0.681108111,
51.56144949,89.38307,0.233126513,5,3,4,2,1,998,0.083958917,943,0.133237039,943,0.113970373,937,0.117399725,926,0.031801072,0.048055126,0.686183151,2.58E-04,0.718309558,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,51.92960163,132.7279243,0.203089384,4,1,3,2,0,976,0.083463496,915,0.100421867,914,0.065903038,914,0.099730751,2000,1.52E-07,6.92E-04,0.6999833,0.748872561,0.681108111,
52.24587991,100.2598147,0.218593678,5,2,4,3,1,996,0.03199775,927,0.099768231,949,0.0512543,935,0.065909346,928,0.033895106,0.050260337,2.76E-04,0.713690223,0.732687899,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,52.61145728,133.8519643,0.182614562,4,2,3,1,0,974,0.035245817,913,0.082240465,912,0.066083403,912,0.081974386,2000,1.52E-07,0.01525142,0.016157533,0.749262857,0.681108111,
52.96197599,104.7853653,0.218777852,4,5,3,2,1,998,0.032876498,946,1.53E-07,947,0.083806286,938,0.099645239,895,1.00E-07,0.017591464,0.699081594,0.765740806,0.050015977,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,53.32692624,122.4697633,0.216317808,4,1,2,3,0,967,0.032465519,911,0.100492822,911,0.10000976,919,0.084318217,2000,1.52E-07,4.84E-04,5.20E-04,0.73513995,0.681108111,
53.64287902,111.4498307,0.197922354,5,3,4,2,1,1000,0.083274772,932,0.133613705,947,0.085907938,942,0.101684532,883,9.70E-08,0.01576282,0.715351548,3.55E-04,0.682915971,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,54.01071017,121.8329997,0.200253596,4,1,2,3,0,970,0.066052759,926,0.099604643,925,0.099139483,913,0.098734871,2000,1.52E-07,4.66E-04,4.05E-04,0.749740805,0.681108111,
54.29378379,100.6604033,0.181346541,4,5,3,2,1,1006,0.032236492,980,1.66E-07,947,0.101005925,942,0.132522608,889,7.70E-08,0.016187954,0.699421571,0.769891025,0.032237046,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,54.67775656,121.592934,0.200539662,4,1,3,2,0,971,0.082328946,911,0.099549308,910,0.064756601,915,0.084090986,2000,1.52E-07,4.88E-04,0.7010874,0.733581781,0.681108111,
55.01175959,99.59088167,0.235771003,4,5,2,3,1,1000,0.049986213,931,8.30E-08,953,0.049049477,941,0.048717573,958,0.036455178,0.08628125,3.32E-04,0.733429648,0.049986664,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,55.36268915,134.2721637,0.183883112,4,1,2,3,0,998,0.017062992,912,0.082372465,911,0.081854827,916,0.065598825,2000,1.52E-07,5.18E-04,4.84E-04,0.716333052,0.681108111,
55.68001777,110.6688593,0.169206075,4,5,2,3,1,1002,0.064644633,925,0.014092898,952,0.068251231,942,0.049285709,888,9.90E-08,0.016714009,4.94E-04,0.699308639,0.050552389,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,56.04533086,111.3342797,0.200515248,4,1,2,3,0,997,0.01594827,917,0.082254137,915,0.081657726,913,0.081168342,2000,1.52E-07,5.97E-04,4.90E-04,0.73131212,0.681108111,
56.17970222,105.1608187,0.019405348,0,0,0,0,1,2000,0.064644633,2000,0.014092898,2000,0.068251231,2000,0.049285709,935,2.49E-07,0.016714009,4.94E-04,0.699308639,0.050552389,,,,,,,,,,,,,,,,,,,,,,,,
56.37950233,127.7683363,0.151382607,3,4,1,2,0,1006,0.06706907,935,8.30E-08,951,0.083622195,939,0.066135486,2000,2.49E-07,4.94E-04,0.732975652,0.067069783,0.050552389,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,56.77697968,106.0061383,0.230840847,4,1,2,3,0,968,0.066851281,916,0.081005771,916,0.08061739,922,0.080161763,2000,1.52E-07,3.89E-04,4.56E-04,0.780717724,0.681108111,
56.86187227,99.50030867,0.017233501,0,0,0,0,1,2000,0.06706907,2000,8.30E-08,2000,0.083622195,2000,0.066135486,908,1.60E-07,4.94E-04,0.732975652,0.067069783,0.050552389,,,,,,,,,,,,,,,,,,,,,,,,
57.09402107,110.932142,0.21508671,3,4,2,1,0,1005,0.048130858,937,0.015067983,947,0.033256077,941,0.066428801,2000,1.60E-07,0.06586323,0.733186459,0.033063457,0.050552389,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,57.43119941,116.3645187,0.203169453,0,2,3,1,0,2000,0.066851281,913,0.08352308,912,0.083152803,913,0.067596327,2000,1.52E-07,0.01667251,3.71E-04,0.780717724,0.681108111,
57.7618646,99.51213433,0.235300307,4,5,3,2,1,1003,0.033945625,949,0.033288779,945,0.116145807,938,0.08325213,918,1.56E-07,0.017661836,0.617156022,0.682352429,6.57E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,58.12927422,127.8408787,0.219186534,4,1,2,3,0,971,1.94E-07,910,0.08348958,910,0.08302258,915,0.068691081,2000,1.52E-07,4.68E-04,5.58E-04,0.816833785,0.681108111,
58.44456846,95.27839967,0.248646373,4,5,3,2,1,1002,0.051051683,928,1.64E-07,946,0.080836009,941,0.065688443,966,1.60E-07,0.049058317,0.718190109,0.748188189,0.051052354,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,58.79482571,127.0840757,0.217650534,0,2,3,1,0,2000,1.94E-07,915,0.133407584,916,0.133116248,914,0.135709183,2000,1.52E-07,0.016598934,2.92E-04,0.816833785,0.681108111,
59.11135813,100.2646063,0.233389856,4,5,3,2,1,1003,0.013712109,932,4.50E-08,946,0.084494525,939,0.081082706,938,0.032302677,0.050756703,0.71731698,0.783850747,0.013712468,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,59.47919554,133.0436593,0.202095072,4,1,3,2,0,983,1.35E-07,914,0.119161064,913,0.034219045,914,0.098939492,2000,1.52E-07,4.59E-04,0.768268329,0.817281784,0.681108111,
59.81169759,122.9664777,0.165699209,3,4,1,2,0,993,0.06466495,954,0.014660981,950,0.100098247,938,0.099390553,2000,0.032302677,7.08E-04,0.783623924,0.050004411,0.013712468,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,60.14550079,115.890365,0.151830314,4,1,2,3,0,978,3.27E-07,913,0.068072165,913,0.067620515,923,0.050499474,2000,1.52E-07,4.52E-04,4.84E-04,0.748915864,0.681108111,
60.51183068,72.498619,0.300665147,4,3,5,2,1,968,0.101043593,943,0.117061145,970,0.067228595,943,0.101499025,888,0.034594507,0.049454956,0.646874511,0.614451785,6.63E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,60.86132002,144.7563457,0.215884527,4,1,2,3,0,954,0.132179699,932,0.148931117,933,0.148353943,953,0.080168476,2000,1.52E-07,5.78E-04,4.92E-04,0.684300924,0.681108111,
61.22908378,121.8545777,0.218085412,5,2,4,3,1,974,0.085139478,949,0.065676447,969,0.067675653,943,0.065207402,888,0.017941122,0.034484196,4.70E-04,0.766770981,0.749934608,,,,,,,,,,,,,,,,,,,,,,,,
61.94572715,360.613905,0.218450804,4,2,5,3,1,982,0.086151443,949,0.081529653,992,0.031559475,940,0.081247756,867,1.05E-07,0.019041938,2.83E-04,0.747597462,0.019712523,,,,,,,,,,,,,,,,,,,,,,,,
62.62857251,588.54894,0.217491099,3,2,4,1,0,975,0.082192287,950,0.097237697,993,0.048233958,943,0.116060884,2000,1.05E-07,0.034859077,0.714667064,0.017922572,0.019712523,,,,,,,,,,,,,,,,,,,,,,,,
62.76390279,699.958751,0.018592016,0,0,0,0,1,2000,0.082192287,2000,0.097237697,2000,0.048233958,2000,0.116060884,1008,1.18E-07,0.034859077,0.714667064,0.017922572,0.019712523,,,,,,,,,,,,,,,,,,,,,,,,
63.78012201,755.2975123,0.868794658,1,5,2,3,4,974,0.050713347,984,0.349095168,986,8.20E-08,995,0.018148004,991,0.017696607,0.032368677,5.53E-04,4.52E-04,0.483133227,,,,,,,,,,,,,,,,,,,,,,,,
64.54513495,1138.854023,0.483138288,1,2,3,4,5,984,0.100522136,945,0.384725438,980,0.036487651,956,0.368330504,988,1.12E-07,0.04783603,3.29E-04,1.32E-04,0.036357241,,,,,,,,,,,,,,,,,,,,,,,,
66.81328184,1417.015016,1.916802328,1,0,0,0,2,1003,0.064848107,2000,0.384725438,2000,0.036487651,2000,0.368330504,894,0.317816887,0.132222718,3.29E-04,1.32E-04,0.036357241,,,,,,,,,,,,,,,,,,,,,,,,
69.76187651,2122.226619,2.749762364,0,0,0,0,1,2000,0.064848107,2000,0.384725438,2000,0.036487651,2000,0.368330504,970,2.599774399,0.132222718,3.29E-04,1.32E-04,0.036357241,,,,,,,,,,,,,,,,,,,,,,,,
71.06211438,3172.428881,0.899393394,0,0,0,0,1,2000,0.064848107,2000,0.384725438,2000,0.036487651,2000,0.368330504,979,0.647927711,0.132222718,3.29E-04,1.32E-04,0.036357241,,,,,,,,,,,,,,,,,,,,,,,,
71.91292801,3539.0946,0.650209706,0,0,0,0,1,2000,0.064848107,2000,0.384725438,2000,0.036487651,2000,0.368330504,973,0.499170167,0.132222718,3.29E-04,1.32E-04,0.036357241,,,,,,,,,,,,,,,,,,,,,,,,
71.97803407,3760.768439,0.050294447,1,0,0,0,2,1010,0.019314939,2000,0.384725438,2000,0.036487651,2000,0.368330504,1010,1.00E-07,0.033076503,3.29E-04,1.32E-04,0.036357241,,,,,,,,,,,,,,,,,,,,,,,,
