TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4,
19.14101973,127.8173807,0.215964548,4,5,3,2,1,977,0.083037578,925,0.066011897,944,0.049501659,929,0.10262156,946,1.05E-07,0.014224173,0.719278039,0.749420536,4.94E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,19.49191607,116.6459293,0.216922367,5,2,3,4,1,947,2.22E-07,912,0.118439063,911,0.118160139,921,0.100561824,908,0.01554714,0.030976505,2.79E-04,1.38E-04,0.797582614,
19.84262379,110.556429,0.23596149,3,5,4,2,1,973,0.04855908,932,0.050886048,946,0.015047452,931,0.08285125,987,0.033947704,0.050495053,0.785102857,5.78E-04,0.698486829,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,20.20941223,122.4300043,0.235459221,0,2,3,4,1,2000,2.22E-07,909,0.118858761,911,0.118489376,921,0.081772818,924,0.034499366,0.049666982,3.70E-04,2.16E-04,0.797582614,
20.57533219,128.455373,0.216013769,4,5,2,3,1,974,0.100231548,981,1.92E-07,949,0.101309523,927,0.067357711,953,1.68E-07,0.030129988,4.68E-04,0.700088731,0.10023198,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,20.97364011,105.125939,0.298943217,5,2,4,3,1,947,0.051191223,911,0.100323091,908,0.083225735,921,0.08555849,907,0.032036514,0.048297204,4.10E-04,0.716101859,0.832034824,
21.27490256,116.5752747,0.250480426,3,5,4,2,1,970,0.11680339,948,0.018422124,943,0.098910355,929,0.131839951,928,0.031973232,0.050499429,0.717859605,5.43E-04,0.699472032,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,21.62646513,127.3949313,0.219857579,5,2,3,4,1,951,0.01784869,910,0.084339892,910,0.083999981,920,0.083827454,906,0.016232001,0.033172082,3.40E-04,1.73E-04,0.817303308,
21.97438715,111.2486043,0.234034141,3,4,5,2,1,971,0.099642973,920,0.065961342,958,0.014963088,920,0.065774912,954,1.15E-07,0.034095785,0.749276749,8.59E-04,2.02E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,22.34078292,111.4263793,0.26615049,5,3,4,2,1,947,0.048830589,908,0.100832099,910,0.084033695,919,0.099899071,909,0.05001932,0.049805229,0.700731429,0.016798871,0.783776599,
22.67636716,116.4612817,0.252351362,3,4,5,2,1,965,0.100014039,955,0.132919461,945,0.066309788,933,0.084745028,892,0.033936869,0.04885167,0.716137967,5.84E-04,1.31E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,23.02622273,122.4953937,0.234719861,5,2,3,4,1,962,3.49E-07,910,0.085329795,910,0.085062655,922,0.049305646,903,0.014522493,0.065037131,2.68E-04,1.88E-04,0.801374106,
23.3741913,117.0891437,0.231422052,3,4,5,2,1,971,0.115017208,942,0.133793202,945,0.114435506,927,0.131709206,897,0.013744277,0.031523166,0.718115862,4.67E-04,1.15E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,23.72464583,121.977819,0.215941874,5,2,3,4,1,958,0.013762613,911,0.084422563,911,0.08413003,919,0.083965155,931,0.032963887,0.031931663,2.93E-04,1.65E-04,0.802231236,
24.07577938,105.2412637,0.251353077,2,5,3,4,1,969,0.050089121,929,0.018577024,946,0.049193885,929,0.014068042,921,0.01784435,0.084602359,8.96E-04,2.63E-04,0.74909074,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,24.39144036,110.9439037,0.234181471,5,3,4,2,1,963,0.015667368,909,0.065771378,909,0.065505005,919,0.115513672,909,0.050144218,0.016719058,0.683084251,2.67E-04,0.783442979,
24.74129843,122.0579307,0.217866314,3,5,4,2,1,970,0.032974631,925,0.018367645,940,0.032433084,928,0.067846239,967,9.80E-08,0.017478736,0.681810191,5.42E-04,0.746713413,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25.12458398,111.4674173,0.266748742,5,2,4,3,1,960,1.20E-07,905,0.101215244,908,0.083227461,919,0.067039146,911,0.016127806,0.032851864,2.89E-04,0.68495575,0.782262184,
25.4908146,111.1464953,0.299540564,4,5,3,2,1,977,0.185259079,924,0.083971701,949,0.064899815,925,0.082847839,934,0.017759079,0.032715321,0.717160578,0.683047701,0.048791808,,,,,,,,,,,,,,,,,,,,,,,,
